"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Jan",-90.493352230546,111.586385061927,NA,17.8020267726286,16.180055167724,3539.15354359076,69.5038582914668,178.498247612719,-1650.56818181818,3370.10556032892
"Feb",153.144562898685,3.72032721457484,1446.22297107568,-106.578520840234,84.5123495587646,1921.08377102928,4130.1671064204,-132.023426173882,1312.74044770483,190.437865703745
"Mar",130.411741624305,74.3637331658826,270.803608630557,45.1954058938545,206.917096593573,465.286632846291,-987.161693268556,-1811.62711529967,-2812.60647359455,-828.547327614089
"Apr",-295.18376146914,155.785334709218,506.149584410813,125.66920549459,-188.287516877232,-334.798293248624,462.966537721879,5776.65838021718,1571.63862114034,1502.61264793669
"May",-189.515538776645,-99.4094861237249,3141.54951522376,-32.1362855913166,-94.8834754657162,-206.045975548323,855.160193059499,-13857.1428571429,374.343557822759,-2069.34384201158
"Jun",9.52691566167599,85.6501314305634,NA,142.498885789847,414.802125593715,4089.49894008663,-195.474316064652,-376.060683980461,4826.66044122798,-536.255736763851
"Jul",125.357999749927,102.790580074144,7086.10590613295,1255.29794027922,-148.685369044815,18.5655903090744,-1749.15792945597,550.923168552709,-199.273022024651,2.01564335894658
"Aug",-154.886588367988,126.158500114327,-61.5259485219003,-1481.31216096751,303.767090340763,317.010709317816,-690.976433720612,-13.847579111613,-2625.47408025913,1115.88741019903
"Sept",83.0389737999755,779.629916666133,-34.9371278025663,16.2321919867506,-98.8207994034644,2402.61369757513,-279.172776503217,-117.260250818492,2780.0035412855,2203.81398884938
"Oct",122.557466506237,1918.08016081285,74.9158338533912,-0.796173904568526,-4973.26756163745,-6097.66953301616,799.344822737186,-310.876216968011,1822.92131948883,1632.59689768809
"Nov",-146.616857388487,1229.95008507585,-163.485940718168,84.5595470956302,1242.3499441131,473.840043589873,-88.6913888164294,4632.65306122456,420.056506791037,-2644.21867058783
"Dec",-169.316011369,778.512586779782,-37.8168449148116,73.9062765589528,-5956.54515745913,-8907.94787097764,-311.507783255615,-2494.30740037951,2104.6161913225,-173.722316550817
